id	taxonID	scientificName	kingdom	phylum	class	order	family
2047603	2047603	Linnavuoriana decempunctata	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae
2047629	2047629	Linnavuoriana sexmaculata	Animalia	Arthropoda	Insecta	Hemiptera	Cicadellidae
2136628	2136628	Linyphia hortensis	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae
2136609	2136609	Linyphia triangularis	Animalia	Arthropoda	Arachnida	Araneae	Linyphiidae
5759055	5759055	Liocoris tripustulatus	Animalia	Arthropoda	Insecta	Hemiptera	Miridae
4479927	4479927	Lionychus quadrillum	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae
1184505	1184505	Liophloeus tessulatus	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae
2050224	2050224	Liorhyssus hyalinus	Animalia	Arthropoda	Insecta	Hemiptera	Rhopalidae
8351541	8351541	Liparus coronatus	Animalia	Arthropoda	Insecta	Coleoptera	Curculionidae
5750797	5750797	Lissodema cursor	Animalia	Arthropoda	Insecta	Coleoptera	Salpingidae
1759620	1759620	Lithophane consocia	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1759661	1759661	Lithophane furcifera	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1759686	1759686	Lithophane lamda	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1759673	1759673	Lithophane leautieri	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1759668	1759668	Lithophane ornitopus	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1759597	1759597	Lithophane semibrunnea	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
1759667	1759667	Lithophane socia	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
5115771	5115771	Lithosia quadra	Animalia	Arthropoda	Insecta	Lepidoptera	Erebidae
1964471	1964471	Lithostege griseata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
4534538	4534538	Litoligia literosa	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
5144426	5144426	Lobophora halterata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
5149438	5149438	Lomaspilis marginata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
1986052	1986052	Lomographa bimaculata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
1986056	1986056	Lomographa temerata	Animalia	Arthropoda	Insecta	Lepidoptera	Geometridae
4493121	4493121	Lonchodryinus ruficornis	Animalia	Arthropoda	Insecta	Hymenoptera	Dryinidae
4534398	4534398	Longalatedes elymi	Animalia	Arthropoda	Insecta	Lepidoptera	Noctuidae
5752619	5752619	Longitarsus atricillus	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae
4990830	4990830	Longitarsus ganglbaueri	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae
4990834	4990834	Longitarsus jacobaeae	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae
4990801	4990801	Longitarsus luridus	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae
5752536	5752536	Longitarsus lycopi	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae
5752499	5752499	Longitarsus melanocephalus	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae
5752587	5752587	Longitarsus nasturtii	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae
5752598	5752598	Longitarsus obliteratus	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae
4990811	4990811	Longitarsus pellucidus	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae
4990831	4990831	Longitarsus pratensis	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae
4990816	4990816	Longitarsus rubiginosus	Animalia	Arthropoda	Insecta	Coleoptera	Chrysomelidae
